,id,year,manufacturer,model,fuel,odometer,transmission
18519,7039714461,2005.0,15,1305,2,154100.0,0
18520,7039702045,2005.0,7,3432,2,129000.0,0
18521,7039701020,2011.0,7,3375,2,97000.0,0
18522,7039699987,1986.0,12,1910,2,159000.0,0
18523,7039699469,2002.0,15,1316,2,174000.0,0
18524,7039698309,2004.0,20,3507,2,146000.0,0
18525,7039471984,2016.0,33,1684,2,27295.0,0
18526,7039695695,2001.0,37,1050,2,159000.0,0
18527,7039693319,2005.0,37,879,2,2200000.0,0
18528,7039691717,2004.0,38,2397,2,117278.0,1
18529,7039691259,2008.0,37,3272,2,107883.0,0
18530,7039690791,2008.0,37,3035,2,133445.0,0
18531,7039690294,2005.0,37,1056,2,124142.0,0
18532,7039689806,2009.0,35,2049,2,107373.0,0
18533,7039689330,2009.0,35,2049,2,145520.0,0
18534,7039688874,2005.0,35,2044,2,151026.0,0
18535,7039688404,2008.0,12,678,2,139436.0,1
18536,7039471761,2013.0,4,4038,2,89262.0,0
18537,7039687898,2009.0,24,2616,2,157418.0,0
18538,7039687375,2007.0,22,1637,2,63405.0,0
18539,7039687204,2012.0,35,2331,2,99164.34544628662,1
18540,7039686876,2009.0,15,1583,2,154442.0,0
18541,7039686287,2008.0,15,1583,2,144090.0,0
18542,7039685725,2003.0,15,1582,2,164852.0,0
18543,7039685219,2009.0,3,723,2,92543.0,0
18544,7039684726,2004.0,0,3844,2,142274.0,1
18545,7039684222,2007.0,0,3745,2,109290.0,0
18546,7039661216,2019.0,37,3621,2,1847.0,0
18547,7039660383,2000.0,35,2796,2,209000.0,0
18548,7039660007,2018.0,32,166,0,11506.0,0
18549,7039658404,2012.0,7,1227,2,102621.0,0
18550,7039657186,2007.0,7,3367,2,99164.34544628662,0
18551,7039656771,2015.0,37,1276,2,95323.0,0
18552,7039655137,2018.0,15,1163,2,10233.0,0
18553,7039653367,2011.0,37,3621,2,81343.0,0
18554,7039651614,2015.0,29,2762,2,55079.0,0
18555,7039649973,2009.0,37,3621,2,132629.0,0
18556,7039648648,2006.0,24,2622,2,120900.0,0
18557,7039648452,2009.0,37,3621,2,132629.0,0
18558,7039648360,2000.0,37,3475,2,140000.0,0
18559,7039634083,2017.0,38,1088,2,58551.0,0
18560,7039633860,2014.0,12,1764,2,106012.0,0
18561,7039447682,2018.0,19,3974,2,33322.0,0
18562,7039621163,2015.0,4,2568,2,70200.0,2
18563,7039614299,2009.0,15,1357,2,149900.0,0
18564,7039578123,2014.0,4,388,2,69698.0,0
18565,7039577871,2014.0,8,247,2,95694.0,0
18566,7039523608,2005.0,32,166,0,249000.0,0
18567,7039519692,2018.0,4,232,2,11756.0,0
18568,7039519076,2017.0,7,3369,2,40771.0,0
18569,7039501901,2012.0,12,2029,2,46600.0,0
18570,7039493187,2014.0,8,247,2,95694.0,0
18571,7039474605,2017.0,29,2419,2,22492.0,2
18572,7039474484,2012.0,15,2008,2,19514.0,1
18573,7039473927,2013.0,16,1567,2,126000.0,0
18574,7039472552,2018.0,4,346,2,21413.0,0
18575,7039344515,2008.0,13,1070,2,99164.34544628662,1
18576,7039336956,2017.0,24,1387,2,30000.0,0
18577,7039332949,2008.0,12,1957,0,99164.34544628662,0
18578,7039247113,2008.0,37,3859,2,162000.0,0
18579,7039233293,2017.0,19,2215,2,18362.0,0
18580,7039222893,2000.0,37,3859,2,302000.0,0
18581,7039208435,2016.0,9,1113,2,54711.0,0
18582,7039179933,2017.0,32,166,0,42138.0,0
18583,7039174160,2017.0,29,2419,2,22492.0,2
18584,7039174017,2015.0,15,2005,2,19956.0,1
18585,7039173956,2018.0,20,3523,2,12347.0,0
18586,7039146466,2007.0,38,2860,2,99164.34544628662,0
